ref;value;sheet number;sheet name;footprint;Champ1;Champ2;Champ3;Champ4;Champ5;Champ6;Champ7;Champ8
C1;100uF;1;Racine;;;;;;;;;
C2;220uF;1;Racine;;;;;;;;;
C3;22uF/25V;1;Racine;;;;;;;;;
C4;0;1;Racine;;;;;;;;;
C5;10nF;1;Racine;;;;;;;;;
C6;100nF;2;pic_sockets.sch;;;;;;;;;
C7;100nF;2;pic_sockets.sch;;;;;;;;;
C8;100nF;2;pic_sockets.sch;;;;;;;;;
D1;1N4004;1;Racine;;;;;;;;;
D10;SCHOTTKY;1;Racine;;;;;;;;;
D11;BAT43;1;Racine;;;;;;;;;
D12;YELLOW-LED;1;Racine;;YELLOW-LED;;;;;;;
D2;BAT43;1;Racine;;;;;;;;;
D3;BAT43;1;Racine;;;;;;;;;
D4;BAT43;1;Racine;;;;;;;;;
D5;BAT43;1;Racine;;;;;;;;;
D6;BAT43;1;Racine;;;;;;;;;
D7;BAT43;1;Racine;;;;;;;;;
D8;RED-LED;1;Racine;;Low Current Led;RED LED;;;;;;
D9;GREEN-LED;1;Racine;;GREEN LED;;;;;;;
J1;DB9-FEMAL;1;Racine;;;;;;;;;
JP1;JUMPER;1;Racine;;;;;;;;;
L1;22uH;1;Racine;;;;;;;;;
P1;CONN_2;1;Racine;;;;;;;;;
P2;SUPP28;2;pic_sockets.sch;;;;;;;;;
P3;SUPP40;2;pic_sockets.sch;;;;;;;;;
Q1;BC237;1;Racine;;;;;;;;;
Q2;BC307;1;Racine;;;;;;;;;
Q3;BC307;1;Racine;;;;;;;;;
R1;10K;1;Racine;;;;;;;;;
R10;5,1K;1;Racine;;;;;;;;;
R11;2.2K;1;Racine;;;;;;;;;
R12;470;1;Racine;;;;;;;;;
R13;470;1;Racine;;;;;;;;;
R14;470;1;Racine;;;;;;;;;
R15;6.2K;1;Racine;;;;;;;;;
R16;62K;1;Racine;;;;;;;;;
R17;22K;1;Racine;;;;;;;;;
R18;220;1;Racine;;;;;;;;;
R19;2.2K;1;Racine;;;;;;;;;
R2;10K;1;Racine;;;;;;;;;
R20;2.2K;1;Racine;;;;;;;;;
R21;470;1;Racine;;;;;;;;;
R3;10K;1;Racine;;;;;;;;;
R4;10K;1;Racine;;;;;;;;;
R5;10K;1;Racine;;;;;;;;;
R6;10K;1;Racine;;;;;;;;;
R7;10K;1;Racine;;;;;;;;;
R8;1K;1;Racine;;;;;;;;;
R9;2.2K;1;Racine;;;;;;;;;
RV1;1K;1;Racine;;;;;;;;;
U1;24Cxx;2;pic_sockets.sch;;;;;;;;;
A;74HC125;1;Racine;;;;;;;;;
B;74HC125;1;Racine;;;;;;;;;
C;74HC125;1;Racine;;;;;;;;;
D;74HC125;1;Racine;;;;;;;;;
U3;7805;1;Racine;;;;;;;;;
U4;LT1373;1;Racine;;;;;;;;;
U5;PIC_18_PINS;2;pic_sockets.sch;;;;;;;;;
U6;PIC_8_PINS;2;pic_sockets.sch;;;;;;;;;
