 time       v(/in)     v(/out)   
 0.000e+00  2.500e+00  2.645e+00 
 1.000e-06  2.516e+00  2.441e+00 
 2.000e-06  2.531e+00  1.972e+00 
 3.000e-06  2.547e+00  1.702e+00 
 4.000e-06  2.563e+00  1.583e+00 
 5.000e-06  2.579e+00  1.496e+00 
 6.000e-06  2.594e+00  1.425e+00 
 7.000e-06  2.610e+00  1.364e+00 
 8.000e-06  2.626e+00  1.310e+00 
 9.000e-06  2.641e+00  1.262e+00 
 1.000e-05  2.657e+00  1.217e+00 
 1.100e-05  2.673e+00  1.177e+00 
 1.200e-05  2.688e+00  1.139e+00 
 1.300e-05  2.704e+00  1.103e+00 
 1.400e-05  2.720e+00  1.070e+00 
 1.500e-05  2.735e+00  1.039e+00 
 1.600e-05  2.751e+00  1.009e+00 
 1.700e-05  2.767e+00  9.812e-01 
 1.800e-05  2.782e+00  9.544e-01 
 1.900e-05  2.798e+00  9.289e-01 
 2.000e-05  2.813e+00  9.045e-01 
 2.100e-05  2.829e+00  8.812e-01 
 2.200e-05  2.844e+00  8.588e-01 
 2.300e-05  2.860e+00  8.372e-01 
 2.400e-05  2.876e+00  8.165e-01 
 2.500e-05  2.891e+00  7.966e-01 
 2.600e-05  2.907e+00  7.773e-01 
 2.700e-05  2.922e+00  7.588e-01 
 2.800e-05  2.938e+00  7.408e-01 
 2.900e-05  2.953e+00  7.235e-01 
 3.000e-05  2.968e+00  7.067e-01 
 3.100e-05  2.984e+00  6.904e-01 
 3.200e-05  2.999e+00  6.746e-01 
 3.300e-05  3.015e+00  6.593e-01 
 3.400e-05  3.030e+00  6.445e-01 
 3.500e-05  3.045e+00  6.301e-01 
 3.600e-05  3.061e+00  6.161e-01 
 3.700e-05  3.076e+00  6.025e-01 
 3.800e-05  3.091e+00  5.892e-01 
 3.900e-05  3.106e+00  5.763e-01 
 4.000e-05  3.122e+00  5.638e-01 
 4.100e-05  3.137e+00  5.516e-01 
 4.200e-05  3.152e+00  5.397e-01 
 4.300e-05  3.167e+00  5.281e-01 
 4.400e-05  3.182e+00  5.168e-01 
 4.500e-05  3.197e+00  5.058e-01 
 4.600e-05  3.213e+00  4.951e-01 
 4.700e-05  3.228e+00  4.846e-01 
 4.800e-05  3.243e+00  4.744e-01 
 4.900e-05  3.258e+00  4.644e-01 
 5.000e-05  3.273e+00  4.547e-01 
 5.100e-05  3.287e+00  4.452e-01 
 5.200e-05  3.302e+00  4.359e-01 
 5.300e-05  3.317e+00  4.268e-01 
 5.400e-05  3.332e+00  4.179e-01 
 5.500e-05  3.347e+00  4.093e-01 
 5.600e-05  3.362e+00  4.008e-01 
 5.700e-05  3.376e+00  3.925e-01 
 5.800e-05  3.391e+00  3.844e-01 
 5.900e-05  3.406e+00  3.765e-01 
 6.000e-05  3.420e+00  3.687e-01 
 6.100e-05  3.435e+00  3.612e-01 
 6.200e-05  3.449e+00  3.537e-01 
 6.300e-05  3.464e+00  3.465e-01 
 6.400e-05  3.478e+00  3.394e-01 
 6.500e-05  3.493e+00  3.324e-01 
 6.600e-05  3.507e+00  3.256e-01 
 6.700e-05  3.522e+00  3.190e-01 
 6.800e-05  3.536e+00  3.125e-01 
 6.900e-05  3.550e+00  3.061e-01 
 7.000e-05  3.564e+00  2.998e-01 
 7.100e-05  3.579e+00  2.937e-01 
 7.200e-05  3.593e+00  2.877e-01 
 7.300e-05  3.607e+00  2.818e-01 
 7.400e-05  3.621e+00  2.761e-01 
 7.500e-05  3.635e+00  2.705e-01 
 7.600e-05  3.649e+00  2.650e-01 
 7.700e-05  3.663e+00  2.596e-01 
 7.800e-05  3.677e+00  2.543e-01 
 7.900e-05  3.691e+00  2.491e-01 
 8.000e-05  3.704e+00  2.440e-01 
 8.100e-05  3.718e+00  2.390e-01 
 8.200e-05  3.732e+00  2.341e-01 
 8.300e-05  3.745e+00  2.294e-01 
 8.400e-05  3.759e+00  2.247e-01 
 8.500e-05  3.773e+00  2.201e-01 
 8.600e-05  3.786e+00  2.156e-01 
 8.700e-05  3.800e+00  2.112e-01 
 8.800e-05  3.813e+00  2.069e-01 
 8.900e-05  3.826e+00  2.026e-01 
 9.000e-05  3.840e+00  1.985e-01 
 9.100e-05  3.853e+00  1.944e-01 
 9.200e-05  3.866e+00  1.904e-01 
 9.300e-05  3.879e+00  1.865e-01 
 9.400e-05  3.892e+00  1.827e-01 
 9.500e-05  3.905e+00  1.789e-01 
 9.600e-05  3.918e+00  1.752e-01 
 9.700e-05  3.931e+00  1.716e-01 
 9.800e-05  3.944e+00  1.681e-01 
 9.900e-05  3.957e+00  1.646e-01 
 1.000e-04  3.969e+00  1.612e-01 
 1.010e-04  3.982e+00  1.579e-01 
 1.020e-04  3.995e+00  1.547e-01 
 1.030e-04  4.007e+00  1.515e-01 
 1.040e-04  4.020e+00  1.483e-01 
 1.050e-04  4.032e+00  1.453e-01 
 1.060e-04  4.045e+00  1.422e-01 
 1.070e-04  4.057e+00  1.393e-01 
 1.080e-04  4.069e+00  1.364e-01 
 1.090e-04  4.081e+00  1.336e-01 
 1.100e-04  4.094e+00  1.308e-01 
 1.110e-04  4.106e+00  1.281e-01 
 1.120e-04  4.118e+00  1.254e-01 
 1.130e-04  4.130e+00  1.228e-01 
 1.140e-04  4.141e+00  1.202e-01 
 1.150e-04  4.153e+00  1.177e-01 
 1.160e-04  4.165e+00  1.152e-01 
 1.170e-04  4.177e+00  1.128e-01 
 1.180e-04  4.188e+00  1.105e-01 
 1.190e-04  4.200e+00  1.082e-01 
 1.200e-04  4.211e+00  1.059e-01 
 1.210e-04  4.223e+00  1.037e-01 
 1.220e-04  4.234e+00  1.015e-01 
 1.230e-04  4.245e+00  9.935e-02 
 1.240e-04  4.257e+00  9.726e-02 
 1.250e-04  4.268e+00  9.521e-02 
 1.260e-04  4.279e+00  9.321e-02 
 1.270e-04  4.290e+00  9.124e-02 
 1.280e-04  4.301e+00  8.932e-02 
 1.290e-04  4.312e+00  8.743e-02 
 1.300e-04  4.322e+00  8.559e-02 
 1.310e-04  4.333e+00  8.378e-02 
 1.320e-04  4.344e+00  8.201e-02 
 1.330e-04  4.354e+00  8.027e-02 
 1.340e-04  4.365e+00  7.857e-02 
 1.350e-04  4.375e+00  7.691e-02 
 1.360e-04  4.386e+00  7.528e-02 
 1.370e-04  4.396e+00  7.369e-02 
 1.380e-04  4.406e+00  7.213e-02 
 1.390e-04  4.416e+00  7.060e-02 
 1.400e-04  4.426e+00  6.911e-02 
 1.410e-04  4.436e+00  6.764e-02 
 1.420e-04  4.446e+00  6.621e-02 
 1.430e-04  4.456e+00  6.481e-02 
 1.440e-04  4.466e+00  6.343e-02 
 1.450e-04  4.475e+00  6.209e-02 
 1.460e-04  4.485e+00  6.078e-02 
 1.470e-04  4.494e+00  5.949e-02 
 1.480e-04  4.504e+00  5.823e-02 
 1.490e-04  4.513e+00  5.700e-02 
 1.500e-04  4.523e+00  5.580e-02 
 1.510e-04  4.532e+00  5.462e-02 
 1.520e-04  4.541e+00  5.346e-02 
 1.530e-04  4.550e+00  5.234e-02 
 1.540e-04  4.559e+00  5.123e-02 
 1.550e-04  4.568e+00  5.016e-02 
 1.560e-04  4.576e+00  4.910e-02 
 1.570e-04  4.585e+00  4.807e-02 
 1.580e-04  4.594e+00  4.706e-02 
 1.590e-04  4.602e+00  4.608e-02 
 1.600e-04  4.611e+00  4.512e-02 
 1.610e-04  4.619e+00  4.417e-02 
 1.620e-04  4.627e+00  4.325e-02 
 1.630e-04  4.636e+00  4.235e-02 
 1.640e-04  4.644e+00  4.148e-02 
 1.650e-04  4.652e+00  4.062e-02 
 1.660e-04  4.660e+00  3.978e-02 
 1.670e-04  4.668e+00  3.896e-02 
 1.680e-04  4.675e+00  3.816e-02 
 1.690e-04  4.683e+00  3.738e-02 
 1.700e-04  4.691e+00  3.661e-02 
 1.710e-04  4.698e+00  3.587e-02 
 1.720e-04  4.706e+00  3.514e-02 
 1.730e-04  4.713e+00  3.443e-02 
 1.740e-04  4.720e+00  3.374e-02 
 1.750e-04  4.728e+00  3.306e-02 
 1.760e-04  4.735e+00  3.240e-02 
 1.770e-04  4.742e+00  3.175e-02 
 1.780e-04  4.749e+00  3.112e-02 
 1.790e-04  4.755e+00  3.051e-02 
 1.800e-04  4.762e+00  2.991e-02 
 1.810e-04  4.769e+00  2.933e-02 
 1.820e-04  4.775e+00  2.876e-02 
 1.830e-04  4.782e+00  2.820e-02 
 1.840e-04  4.788e+00  2.766e-02 
 1.850e-04  4.794e+00  2.713e-02 
 1.860e-04  4.801e+00  2.662e-02 
 1.870e-04  4.807e+00  2.612e-02 
 1.880e-04  4.813e+00  2.563e-02 
 1.890e-04  4.819e+00  2.515e-02 
 1.900e-04  4.824e+00  2.469e-02 
 1.910e-04  4.830e+00  2.424e-02 
 1.920e-04  4.836e+00  2.380e-02 
 1.930e-04  4.841e+00  2.337e-02 
 1.940e-04  4.847e+00  2.296e-02 
 1.950e-04  4.852e+00  2.255e-02 
 1.960e-04  4.857e+00  2.216e-02 
 1.970e-04  4.863e+00  2.178e-02 
 1.980e-04  4.868e+00  2.140e-02 
 1.990e-04  4.873e+00  2.104e-02 
 2.000e-04  4.878e+00  2.069e-02 
 2.010e-04  4.882e+00  2.035e-02 
 2.020e-04  4.887e+00  2.002e-02 
 2.030e-04  4.892e+00  1.969e-02 
 2.040e-04  4.896e+00  1.938e-02 
 2.050e-04  4.901e+00  1.908e-02 
 2.060e-04  4.905e+00  1.878e-02 
 2.070e-04  4.909e+00  1.850e-02 
 2.080e-04  4.913e+00  1.822e-02 
 2.090e-04  4.917e+00  1.795e-02 
 2.100e-04  4.921e+00  1.770e-02 
 2.110e-04  4.925e+00  1.744e-02 
 2.120e-04  4.929e+00  1.720e-02 
 2.130e-04  4.933e+00  1.697e-02 
 2.140e-04  4.936e+00  1.674e-02 
 2.150e-04  4.940e+00  1.652e-02 
 2.160e-04  4.943e+00  1.631e-02 
 2.170e-04  4.946e+00  1.611e-02 
 2.180e-04  4.950e+00  1.591e-02 
 2.190e-04  4.953e+00  1.572e-02 
 2.200e-04  4.956e+00  1.554e-02 
 2.210e-04  4.959e+00  1.536e-02 
 2.220e-04  4.961e+00  1.519e-02 
 2.230e-04  4.964e+00  1.503e-02 
 2.240e-04  4.967e+00  1.488e-02 
 2.250e-04  4.969e+00  1.473e-02 
 2.260e-04  4.972e+00  1.459e-02 
 2.270e-04  4.974e+00  1.445e-02 
 2.280e-04  4.976e+00  1.433e-02 
 2.290e-04  4.978e+00  1.420e-02 
 2.300e-04  4.980e+00  1.409e-02 
 2.310e-04  4.982e+00  1.398e-02 
 2.320e-04  4.984e+00  1.387e-02 
 2.330e-04  4.986e+00  1.377e-02 
 2.340e-04  4.987e+00  1.368e-02 
 2.350e-04  4.989e+00  1.360e-02 
 2.360e-04  4.990e+00  1.352e-02 
 2.370e-04  4.992e+00  1.344e-02 
 2.380e-04  4.993e+00  1.337e-02 
 2.390e-04  4.994e+00  1.331e-02 
 2.400e-04  4.995e+00  1.325e-02 
 2.410e-04  4.996e+00  1.320e-02 
 2.420e-04  4.997e+00  1.315e-02 
 2.430e-04  4.998e+00  1.311e-02 
 2.440e-04  4.998e+00  1.308e-02 
 2.450e-04  4.999e+00  1.305e-02 
