 time     v(/out) 
 0.0e+00  3.2e-02 
 1.0e-11  3.2e-02 
 2.0e-11  3.2e-02 
 3.0e-11  3.2e-02 
 4.0e-11  3.2e-02 
 5.0e-11  3.2e-02 
 6.0e-11  3.2e-02 
 7.0e-11  3.2e-02 
 8.0e-11  3.2e-02 
 9.0e-11  3.2e-02 
 1.0e-10  3.2e-02 
 1.1e-10  3.2e-02 
 1.2e-10  3.2e-02 
 1.3e-10  3.2e-02 
 1.4e-10  3.2e-02 
 1.5e-10  3.2e-02 
 1.6e-10  3.2e-02 
 1.7e-10  3.2e-02 
 1.8e-10  3.2e-02 
 1.9e-10  3.2e-02 
 2.0e-10  3.2e-02 
 2.1e-10  3.2e-02 
 2.2e-10  3.2e-02 
 2.3e-10  3.2e-02 
 2.4e-10  3.2e-02 
 2.5e-10  3.2e-02 
 2.6e-10  3.2e-02 
 2.7e-10  3.2e-02 
 2.8e-10  3.2e-02 
 2.9e-10  3.2e-02 
 3.0e-10  3.2e-02 
 3.1e-10  3.2e-02 
 3.2e-10  3.2e-02 
 3.3e-10  3.2e-02 
 3.4e-10  3.2e-02 
 3.5e-10  3.2e-02 
 3.6e-10  3.2e-02 
 3.7e-10  3.2e-02 
 3.8e-10  3.2e-02 
 3.9e-10  3.2e-02 
 4.0e-10  3.2e-02 
 4.1e-10  3.2e-02 
 4.2e-10  3.2e-02 
 4.3e-10  3.2e-02 
 4.4e-10  3.2e-02 
 4.5e-10  3.2e-02 
 4.6e-10  3.2e-02 
 4.7e-10  3.2e-02 
 4.8e-10  3.2e-02 
 4.9e-10  3.2e-02 
 5.0e-10  3.2e-02 
 5.1e-10  3.2e-02 
 5.2e-10  3.2e-02 
 5.3e-10  3.2e-02 
 5.4e-10  3.2e-02 
 5.5e-10  3.2e-02 
 5.6e-10  3.2e-02 
 5.7e-10  3.2e-02 
 5.8e-10  3.2e-02 
 5.9e-10  3.2e-02 
 6.0e-10  3.2e-02 
 6.1e-10  3.2e-02 
 6.2e-10  3.2e-02 
 6.3e-10  3.2e-02 
 6.4e-10  3.2e-02 
 6.5e-10  3.2e-02 
 6.6e-10  3.2e-02 
 6.7e-10  3.2e-02 
 6.8e-10  3.2e-02 
 6.9e-10  3.2e-02 
 7.0e-10  3.2e-02 
 7.1e-10  3.2e-02 
 7.2e-10  3.2e-02 
 7.3e-10  3.2e-02 
 7.4e-10  3.2e-02 
 7.5e-10  3.2e-02 
 7.6e-10  3.2e-02 
 7.7e-10  3.2e-02 
 7.8e-10  3.2e-02 
 7.9e-10  3.2e-02 
 8.0e-10  3.2e-02 
 8.1e-10  3.2e-02 
 8.2e-10  3.2e-02 
 8.3e-10  3.2e-02 
 8.4e-10  3.2e-02 
 8.5e-10  3.2e-02 
 8.6e-10  3.2e-02 
 8.7e-10  3.2e-02 
 8.8e-10  3.2e-02 
 8.9e-10  3.2e-02 
 9.0e-10  3.2e-02 
 9.1e-10  3.2e-02 
 9.2e-10  3.2e-02 
 9.3e-10  3.2e-02 
 9.4e-10  3.2e-02 
 9.5e-10  3.2e-02 
 9.6e-10  3.2e-02 
 9.7e-10  3.2e-02 
 9.8e-10  3.2e-02 
 9.9e-10  3.2e-02 
 1.0e-09  3.2e-02 
 1.0e-09  3.2e-02 
 1.0e-09  3.2e-02 
 1.0e-09  3.2e-02 
 1.0e-09  3.2e-02 
 1.0e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.1e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.2e-09  3.2e-02 
 1.3e-09  3.2e-02 
 1.3e-09  3.2e-02 
 1.3e-09  3.2e-02 
