 time       v(/signal_in) v(/rect_out)
 0.000e+00  0.000e+00 -2.691e-26 
 1.000e-06 -9.425e-03 -6.922e-14 
 2.000e-06 -1.885e-02 -2.572e-13 
 3.000e-06 -2.827e-02 -5.513e-13 
 4.000e-06 -3.769e-02 -9.522e-13 
 5.000e-06 -4.712e-02 -1.456e-12 
 6.000e-06 -5.654e-02 -2.060e-12 
 7.000e-06 -6.595e-02 -2.763e-12 
 8.000e-06 -7.537e-02 -3.562e-12 
 9.000e-06 -8.478e-02 -4.458e-12 
 1.000e-05 -9.419e-02 -5.449e-12 
 1.100e-05 -1.036e-01 -6.535e-12 
 1.200e-05 -1.130e-01 -7.715e-12 
 1.300e-05 -1.224e-01 -8.990e-12 
 1.400e-05 -1.318e-01 -1.036e-11 
 1.500e-05 -1.412e-01 -1.182e-11 
 1.600e-05 -1.505e-01 -1.338e-11 
 1.700e-05 -1.599e-01 -1.503e-11 
 1.800e-05 -1.693e-01 -1.677e-11 
 1.900e-05 -1.786e-01 -1.861e-11 
 2.000e-05 -1.880e-01 -2.054e-11 
 2.100e-05 -1.973e-01 -2.256e-11 
 2.200e-05 -2.067e-01 -2.468e-11 
 2.300e-05 -2.160e-01 -2.689e-11 
 2.400e-05 -2.253e-01 -2.920e-11 
 2.500e-05 -2.347e-01 -3.159e-11 
 2.600e-05 -2.440e-01 -3.408e-11 
 2.700e-05 -2.532e-01 -3.666e-11 
 2.800e-05 -2.625e-01 -3.934e-11 
 2.900e-05 -2.718e-01 -4.211e-11 
 3.000e-05 -2.811e-01 -4.497e-11 
 3.100e-05 -2.903e-01 -4.792e-11 
 3.200e-05 -2.996e-01 -5.096e-11 
 3.300e-05 -3.088e-01 -5.410e-11 
 3.400e-05 -3.180e-01 -5.733e-11 
 3.500e-05 -3.272e-01 -6.065e-11 
 3.600e-05 -3.364e-01 -6.406e-11 
 3.700e-05 -3.456e-01 -6.756e-11 
 3.800e-05 -3.547e-01 -7.116e-11 
 3.900e-05 -3.639e-01 -7.484e-11 
 4.000e-05 -3.730e-01 -7.862e-11 
 4.100e-05 -3.822e-01 -8.249e-11 
 4.200e-05 -3.913e-01 -8.645e-11 
 4.300e-05 -4.004e-01 -9.050e-11 
 4.400e-05 -4.094e-01 -9.464e-11 
 4.500e-05 -4.185e-01 -9.887e-11 
 4.600e-05 -4.275e-01 -1.032e-10 
 4.700e-05 -4.366e-01 -1.076e-10 
 4.800e-05 -4.456e-01 -1.121e-10 
 4.900e-05 -4.546e-01 -1.167e-10 
 5.000e-05 -4.635e-01 -1.214e-10 
 5.100e-05 -4.725e-01 -1.261e-10 
 5.200e-05 -4.814e-01 -1.310e-10 
 5.300e-05 -4.903e-01 -1.359e-10 
 5.400e-05 -4.992e-01 -1.410e-10 
 5.500e-05 -5.081e-01 -1.461e-10 
 5.600e-05 -5.170e-01 -1.513e-10 
 5.700e-05 -5.258e-01 -1.566e-10 
 5.800e-05 -5.346e-01 -1.620e-10 
 5.900e-05 -5.434e-01 -1.675e-10 
 6.000e-05 -5.522e-01 -1.730e-10 
 6.100e-05 -5.609e-01 -1.787e-10 
 6.200e-05 -5.697e-01 -1.844e-10 
 6.300e-05 -5.784e-01 -1.902e-10 
 6.400e-05 -5.871e-01 -1.961e-10 
 6.500e-05 -5.957e-01 -2.021e-10 
 6.600e-05 -6.044e-01 -2.082e-10 
 6.700e-05 -6.130e-01 -2.144e-10 
 6.800e-05 -6.216e-01 -2.206e-10 
 6.900e-05 -6.301e-01 -2.270e-10 
 7.000e-05 -6.387e-01 -2.334e-10 
 7.100e-05 -6.472e-01 -2.399e-10 
 7.200e-05 -6.557e-01 -2.465e-10 
 7.300e-05 -6.641e-01 -2.531e-10 
 7.400e-05 -6.726e-01 -2.599e-10 
 7.500e-05 -6.810e-01 -2.667e-10 
 7.600e-05 -6.894e-01 -2.737e-10 
 7.700e-05 -6.977e-01 -2.807e-10 
 7.800e-05 -7.061e-01 -2.878e-10 
 7.900e-05 -7.144e-01 -2.949e-10 
 8.000e-05 -7.226e-01 -3.022e-10 
 8.100e-05 -7.309e-01 -3.095e-10 
 8.200e-05 -7.391e-01 -3.170e-10 
 8.300e-05 -7.473e-01 -3.245e-10 
 8.400e-05 -7.554e-01 -3.320e-10 
 8.500e-05 -7.636e-01 -3.397e-10 
 8.600e-05 -7.717e-01 -3.474e-10 
 8.700e-05 -7.797e-01 -3.553e-10 
 8.800e-05 -7.878e-01 -3.632e-10 
 8.900e-05 -7.958e-01 -3.711e-10 
 9.000e-05 -8.037e-01 -3.792e-10 
 9.100e-05 -8.117e-01 -3.873e-10 
 9.200e-05 -8.196e-01 -3.956e-10 
 9.300e-05 -8.275e-01 -4.039e-10 
 9.400e-05 -8.353e-01 -4.122e-10 
 9.500e-05 -8.431e-01 -4.207e-10 
 9.600e-05 -8.509e-01 -4.292e-10 
 9.700e-05 -8.586e-01 -4.378e-10 
 9.800e-05 -8.664e-01 -4.465e-10 
 9.900e-05 -8.740e-01 -4.552e-10 
 1.000e-04 -8.817e-01 -4.641e-10 
 1.010e-04 -8.893e-01 -4.730e-10 
 1.020e-04 -8.969e-01 -4.820e-10 
 1.030e-04 -9.044e-01 -4.910e-10 
 1.040e-04 -9.119e-01 -5.002e-10 
 1.050e-04 -9.194e-01 -5.094e-10 
 1.060e-04 -9.268e-01 -5.186e-10 
 1.070e-04 -9.342e-01 -5.280e-10 
 1.080e-04 -9.415e-01 -5.374e-10 
 1.090e-04 -9.489e-01 -5.469e-10 
 1.100e-04 -9.561e-01 -5.565e-10 
 1.110e-04 -9.634e-01 -5.661e-10 
 1.120e-04 -9.706e-01 -5.758e-10 
 1.130e-04 -9.777e-01 -5.856e-10 
 1.140e-04 -9.849e-01 -5.955e-10 
 1.150e-04 -9.920e-01 -6.054e-10 
 1.160e-04 -9.990e-01 -6.154e-10 
 1.170e-04 -1.006e+00 -6.255e-10 
 1.180e-04 -1.013e+00 -6.356e-10 
 1.190e-04 -1.020e+00 -6.458e-10 
 1.200e-04 -1.027e+00 -6.561e-10 
 1.210e-04 -1.034e+00 -6.664e-10 
 1.220e-04 -1.040e+00 -6.768e-10 
 1.230e-04 -1.047e+00 -6.873e-10 
 1.240e-04 -1.054e+00 -6.978e-10 
 1.250e-04 -1.061e+00 -7.084e-10 
 1.260e-04 -1.067e+00 -7.191e-10 
 1.270e-04 -1.074e+00 -7.298e-10 
 1.280e-04 -1.080e+00 -7.406e-10 
 1.290e-04 -1.087e+00 -7.515e-10 
 1.300e-04 -1.093e+00 -7.624e-10 
 1.310e-04 -1.100e+00 -7.734e-10 
 1.320e-04 -1.106e+00 -7.844e-10 
 1.330e-04 -1.113e+00 -7.956e-10 
 1.340e-04 -1.119e+00 -8.067e-10 
 1.350e-04 -1.125e+00 -8.180e-10 
 1.360e-04 -1.131e+00 -8.293e-10 
 1.370e-04 -1.138e+00 -8.406e-10 
 1.380e-04 -1.144e+00 -8.521e-10 
 1.390e-04 -1.150e+00 -8.635e-10 
 1.400e-04 -1.156e+00 -8.751e-10 
 1.410e-04 -1.162e+00 -8.867e-10 
 1.420e-04 -1.168e+00 -8.983e-10 
 1.430e-04 -1.174e+00 -9.101e-10 
 1.440e-04 -1.179e+00 -9.218e-10 
 1.450e-04 -1.185e+00 -9.337e-10 
 1.460e-04 -1.191e+00 -9.455e-10 
 1.470e-04 -1.197e+00 -9.575e-10 
 1.480e-04 -1.202e+00 -9.695e-10 
 1.490e-04 -1.208e+00 -9.815e-10 
 1.500e-04 -1.214e+00 -9.936e-10 
 1.510e-04 -1.219e+00 -1.006e-09 
 1.520e-04 -1.225e+00 -1.018e-09 
 1.530e-04 -1.230e+00 -1.030e-09 
 1.540e-04 -1.235e+00 -1.043e-09 
 1.550e-04 -1.241e+00 -1.055e-09 
 1.560e-04 -1.246e+00 -1.067e-09 
 1.570e-04 -1.251e+00 -1.080e-09 
 1.580e-04 -1.256e+00 -1.092e-09 
 1.590e-04 -1.261e+00 -1.105e-09 
 1.600e-04 -1.266e+00 -1.118e-09 
 1.610e-04 -1.272e+00 -1.130e-09 
 1.620e-04 -1.276e+00 -1.143e-09 
 1.630e-04 -1.281e+00 -1.156e-09 
 1.640e-04 -1.286e+00 -1.169e-09 
 1.650e-04 -1.291e+00 -1.182e-09 
 1.660e-04 -1.296e+00 -1.194e-09 
 1.670e-04 -1.301e+00 -1.207e-09 
 1.680e-04 -1.305e+00 -1.220e-09 
 1.690e-04 -1.310e+00 -1.233e-09 
 1.700e-04 -1.314e+00 -1.247e-09 
 1.710e-04 -1.319e+00 -1.260e-09 
 1.720e-04 -1.323e+00 -1.273e-09 
 1.730e-04 -1.328e+00 -1.286e-09 
 1.740e-04 -1.332e+00 -1.299e-09 
 1.750e-04 -1.337e+00 -1.313e-09 
 1.760e-04 -1.341e+00 -1.326e-09 
 1.770e-04 -1.345e+00 -1.339e-09 
 1.780e-04 -1.349e+00 -1.353e-09 
 1.790e-04 -1.353e+00 -1.366e-09 
 1.800e-04 -1.357e+00 -1.380e-09 
 1.810e-04 -1.361e+00 -1.393e-09 
 1.820e-04 -1.365e+00 -1.407e-09 
 1.830e-04 -1.369e+00 -1.421e-09 
 1.840e-04 -1.373e+00 -1.434e-09 
 1.850e-04 -1.377e+00 -1.448e-09 
 1.860e-04 -1.380e+00 -1.462e-09 
 1.870e-04 -1.384e+00 -1.476e-09 
 1.880e-04 -1.388e+00 -1.489e-09 
 1.890e-04 -1.391e+00 -1.503e-09 
 1.900e-04 -1.395e+00 -1.517e-09 
 1.910e-04 -1.398e+00 -1.531e-09 
 1.920e-04 -1.401e+00 -1.545e-09 
 1.930e-04 -1.405e+00 -1.559e-09 
 1.940e-04 -1.408e+00 -1.573e-09 
 1.950e-04 -1.411e+00 -1.587e-09 
 1.960e-04 -1.414e+00 -1.601e-09 
 1.970e-04 -1.418e+00 -1.615e-09 
 1.980e-04 -1.421e+00 -1.629e-09 
 1.990e-04 -1.424e+00 -1.643e-09 
 2.000e-04 -1.427e+00 -1.658e-09 
 2.010e-04 -1.429e+00 -1.672e-09 
 2.020e-04 -1.432e+00 -1.686e-09 
 2.030e-04 -1.435e+00 -1.700e-09 
 2.040e-04 -1.438e+00 -1.715e-09 
 2.050e-04 -1.440e+00 -1.729e-09 
 2.060e-04 -1.443e+00 -1.743e-09 
 2.070e-04 -1.446e+00 -1.758e-09 
 2.080e-04 -1.448e+00 -1.772e-09 
 2.090e-04 -1.450e+00 -1.786e-09 
 2.100e-04 -1.453e+00 -1.801e-09 
 2.110e-04 -1.455e+00 -1.815e-09 
 2.120e-04 -1.457e+00 -1.830e-09 
 2.130e-04 -1.460e+00 -1.844e-09 
 2.140e-04 -1.462e+00 -1.859e-09 
 2.150e-04 -1.464e+00 -1.873e-09 
 2.160e-04 -1.466e+00 -1.888e-09 
 2.170e-04 -1.468e+00 -1.903e-09 
 2.180e-04 -1.470e+00 -1.917e-09 
 2.190e-04 -1.472e+00 -1.932e-09 
 2.200e-04 -1.473e+00 -1.946e-09 
 2.210e-04 -1.475e+00 -1.961e-09 
 2.220e-04 -1.477e+00 -1.976e-09 
 2.230e-04 -1.478e+00 -1.990e-09 
 2.240e-04 -1.480e+00 -2.005e-09 
 2.250e-04 -1.482e+00 -2.020e-09 
 2.260e-04 -1.483e+00 -2.034e-09 
 2.270e-04 -1.484e+00 -2.049e-09 
 2.280e-04 -1.486e+00 -2.064e-09 
 2.290e-04 -1.487e+00 -2.079e-09 
 2.300e-04 -1.488e+00 -2.093e-09 
 2.310e-04 -1.489e+00 -2.108e-09 
 2.320e-04 -1.490e+00 -2.123e-09 
 2.330e-04 -1.491e+00 -2.138e-09 
 2.340e-04 -1.492e+00 -2.153e-09 
 2.350e-04 -1.493e+00 -2.167e-09 
 2.360e-04 -1.494e+00 -2.182e-09 
 2.370e-04 -1.495e+00 -2.197e-09 
 2.380e-04 -1.496e+00 -2.212e-09 
 2.390e-04 -1.496e+00 -2.227e-09 
 2.400e-04 -1.497e+00 -2.242e-09 
 2.410e-04 -1.498e+00 -2.256e-09 
 2.420e-04 -1.498e+00 -2.271e-09 
 2.430e-04 -1.499e+00 -2.286e-09 
 2.440e-04 -1.499e+00 -2.301e-09 
 2.450e-04 -1.499e+00 -2.316e-09 
 2.460e-04 -1.500e+00 -2.331e-09 
 2.470e-04 -1.500e+00 -2.346e-09 
 2.480e-04 -1.500e+00 -2.360e-09 
 2.490e-04 -1.500e+00 -2.375e-09 
 2.500e-04 -1.500e+00 -2.390e-09 
