 frequency v(/lowpass) v(/lowpass)
 1.0e+00  1.0e+00 -1.3e-03 
 1.3e+00  1.0e+00 -1.6e-03 
 1.6e+00  1.0e+00 -2.0e-03 
 2.0e+00  1.0e+00 -2.5e-03 
 2.5e+00  1.0e+00 -3.2e-03 
 3.2e+00  1.0e+00 -4.0e-03 
 4.0e+00  1.0e+00 -5.0e-03 
 5.0e+00  1.0e+00 -6.3e-03 
 6.3e+00  1.0e+00 -7.9e-03 
 7.9e+00  1.0e+00 -1.0e-02 
 1.0e+01  1.0e+00 -1.3e-02 
 1.3e+01  1.0e+00 -1.6e-02 
 1.6e+01  1.0e+00 -2.0e-02 
 2.0e+01  1.0e+00 -2.5e-02 
 2.5e+01  1.0e+00 -3.2e-02 
 3.2e+01  1.0e+00 -4.0e-02 
 4.0e+01  1.0e+00 -5.0e-02 
 5.0e+01  1.0e+00 -6.3e-02 
 6.3e+01  1.0e+00 -7.9e-02 
 7.9e+01  9.9e-01 -9.9e-02 
 1.0e+02  9.9e-01 -1.2e-01 
 1.3e+02  9.8e-01 -1.6e-01 
 1.6e+02  9.7e-01 -2.0e-01 
 2.0e+02  9.5e-01 -2.4e-01 
 2.5e+02  9.3e-01 -3.0e-01 
 3.2e+02  8.9e-01 -3.7e-01 
 4.0e+02  8.3e-01 -4.4e-01 
 5.0e+02  7.5e-01 -5.2e-01 
 6.3e+02  6.3e-01 -5.9e-01 
 7.9e+02  4.8e-01 -6.4e-01 
 1.0e+03  3.1e-01 -6.5e-01 
 1.3e+03  1.4e-01 -6.0e-01 
 1.6e+03  2.1e-03 -5.0e-01 
 2.0e+03 -8.6e-02 -3.8e-01 
 2.5e+03 -1.2e-01 -2.6e-01 
 3.2e+03 -1.2e-01 -1.6e-01 
 4.0e+03 -1.0e-01 -9.5e-02 
 5.0e+03 -7.5e-02 -5.3e-02 
 6.3e+03 -5.3e-02 -2.8e-02 
 7.9e+03 -3.6e-02 -1.5e-02 
 1.0e+04 -2.3e-02 -7.7e-03 
 1.3e+04 -1.5e-02 -3.9e-03 
 1.6e+04 -9.8e-03 -2.0e-03 
 2.0e+04 -6.2e-03 -9.9e-04 
 2.5e+04 -3.9e-03 -5.0e-04 
 3.2e+04 -2.5e-03 -2.4e-04 
 4.0e+04 -1.6e-03 -1.2e-04 
 5.0e+04 -9.9e-04 -5.0e-05 
 6.3e+04 -6.2e-04 -1.5e-05 
 7.9e+04 -3.8e-04  4.4e-06 
 1.0e+05 -2.3e-04  1.7e-05 
 1.3e+05 -1.4e-04  2.7e-05 
 1.6e+05 -8.2e-05  3.7e-05 
 2.0e+05 -4.5e-05  4.8e-05 
 2.5e+05 -2.2e-05  6.2e-05 
 3.2e+05 -6.9e-06  7.8e-05 
 4.0e+05  2.5e-06  9.8e-05 
 5.0e+05  8.6e-06  1.2e-04 
 6.3e+05  1.2e-05  1.6e-04 
 7.9e+05  1.5e-05  2.0e-04 
 1.0e+06  1.7e-05  2.5e-04 
