 time     v(/vam)  v(/iam)  v(/vdc)  v(/idc)  v(/vexp) v(/iexp) v(/vpulse) v(/ipulse) v(/vpwl) v(/ipwl) v(/vsffm) v(/isffm) v(/vsin) v(/isin)
 0.0e+00  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04 -1.0e+00  1.0e+04 -7.0e+00  7.0e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 1.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04 -1.0e+00  1.0e+04 -7.0e+00  7.0e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 2.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04 -1.0e+00  1.0e+04 -7.0e+00  7.0e+04 -4.0e+00  4.0e+04  2.7e-05 -2.7e-01 
 3.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -9.3e-01  9.3e+03 -7.0e+00  7.0e+04 -4.7e+00  4.7e+04  2.0e-09 -2.0e-05 
 4.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04 -8.7e-01  8.7e+03 -7.0e+00  7.0e+04 -5.6e+00  5.6e+04  8.9e-14 -8.9e-10 
 5.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04 -8.0e-01  8.0e+03 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04  2.5e-18 -2.5e-14 
 6.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04 -7.3e-01  7.3e+03 -7.0e+00  7.0e+04 -5.6e+00  5.6e+04 -1.9e-37 -1.5e-33 
 7.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04 -6.7e-01  6.7e+03 -7.0e+00  7.0e+04 -4.8e+00  4.8e+04 -5.1e-27  5.1e-23 
 8.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04 -6.0e-01  6.0e+03 -7.0e+00  7.0e+04 -4.1e+00  4.1e+04 -3.8e-31  3.8e-27 
 9.0e-09  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04 -5.3e-01  5.3e+03 -7.0e+00  7.0e+04 -4.1e+00  4.1e+04 -1.7e-35  1.7e-31 
 1.0e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.3e+00  3.3e+04 -4.7e-01  4.7e+03 -7.0e+00  7.0e+04 -4.8e+00  4.8e+04 -4.8e-40  4.8e-36 
 1.1e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.2e+00  3.2e+04 -4.0e-01  4.0e+03 -7.0e+00  7.0e+04 -5.6e+00  5.6e+04  4.0e-59  0.0e+00 
 1.2e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.1e+00  3.1e+04 -3.3e-01  3.3e+03 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04  9.9e-49 -9.9e-45 
 1.3e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.1e+00  3.1e+04 -2.7e-01  2.7e+03 -7.0e+00  7.0e+04 -5.7e+00  5.7e+04  7.3e-53 -7.3e-49 
 1.4e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -3.0e+00  3.0e+04 -2.0e-01  2.0e+03 -7.0e+00  7.0e+04 -4.9e+00  4.9e+04  3.3e-57 -3.3e-53 
 1.5e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -1.3e-01  1.3e+03 -7.0e+00  7.0e+04 -4.2e+00  4.2e+04  9.3e-62 -9.3e-58 
 1.6e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.9e+00  2.9e+04 -6.7e-02  6.7e+02 -7.0e+00  7.0e+04 -4.0e+00  4.0e+04 -8.4e-81  2.1e-76 
 1.7e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.8e+00  2.8e+04  0.0e+00 -1.8e-12 -7.0e+00  7.0e+04 -4.4e+00  4.4e+04 -1.9e-70  1.9e-66 
 1.8e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.8e+00  2.8e+04  6.7e-02 -6.7e+02 -7.0e+00  7.0e+04 -5.1e+00  5.1e+04 -1.4e-74  1.4e-70 
 1.9e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.7e+00  2.7e+04  1.3e-01 -1.3e+03 -7.0e+00  7.0e+04 -5.8e+00  5.8e+04 -6.4e-79  6.4e-75 
 2.0e-08  0.0e+00  0.0e+00  2.3e+00 -2.3e+04 -2.6e+00  2.6e+04  2.0e-01 -2.0e+03 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04 -1.8e-83  1.8e-79 
 2.1e-08  1.6e-01 -1.6e+03  2.3e+00 -2.3e+04 -2.6e+00  2.6e+04  2.7e-01 -2.7e+03 -7.0e+00  7.0e+04 -5.7e+00  5.7e+04 -2.9e-101  0.0e+00 
 2.2e-08  3.3e-01 -3.3e+03  2.3e+00 -2.3e+04 -2.5e+00  2.5e+04  3.3e-01 -3.3e+03 -7.0e+00  7.0e+04 -5.1e+00  5.1e+04  3.7e-92 -3.7e-88 
 2.3e-08  4.8e-01 -4.8e+03  2.3e+00 -2.3e+04 -2.5e+00  2.5e+04  4.0e-01 -4.0e+03 -7.0e+00  7.0e+04 -4.5e+00  4.5e+04  2.7e-96 -2.7e-92 
 2.4e-08  5.9e-01 -5.9e+03  2.3e+00 -2.3e+04 -2.4e+00  2.4e+04  4.7e-01 -4.7e+03 -7.0e+00  7.0e+04 -4.1e+00  4.1e+04  1.2e-100 -1.2e-96 
 2.5e-08  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -2.4e+00  2.4e+04  5.3e-01 -5.3e+03 -7.0e+00  7.0e+04 -4.0e+00  4.0e+04  3.5e-105 -3.5e-101 
 2.6e-08  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  6.0e-01 -6.0e+03 -7.0e+00  7.0e+04 -4.4e+00  4.4e+04  9.1e-123 -9.9e-119 
 2.7e-08  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  6.7e-01 -6.7e+03 -7.0e+00  7.0e+04 -4.9e+00  4.9e+04 -7.1e-114  7.1e-110 
 2.8e-08  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  7.3e-01 -7.3e+03 -7.0e+00  7.0e+04 -5.5e+00  5.5e+04 -5.2e-118  5.2e-114 
 2.9e-08  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  8.0e-01 -8.0e+03 -7.0e+00  7.0e+04 -5.9e+00  5.9e+04 -2.4e-122  2.4e-118 
 3.0e-08  2.7e-15 -2.9e-11  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  8.7e-01 -8.7e+03 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04 -6.7e-127  6.7e-123 
 3.1e-08 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  9.3e-01 -9.3e+03 -7.0e+00  7.0e+04 -5.8e+00  5.8e+04 -1.3e-144  2.1e-140 
