 time       v(/in)     v(/out)   
 0.000e+00  0.000e+00  5.604e+00 
 1.000e-06  6.278e-04  5.569e+00 
 2.000e-06  1.253e-03  5.537e+00 
 3.000e-06  1.873e-03  5.506e+00 
 4.000e-06  2.486e-03  5.478e+00 
 5.000e-06  3.089e-03  5.451e+00 
 6.000e-06  3.680e-03  5.427e+00 
 7.000e-06  4.256e-03  5.404e+00 
 8.000e-06  4.816e-03  5.384e+00 
 9.000e-06  5.356e-03  5.367e+00 
 1.000e-05  5.876e-03  5.351e+00 
 1.100e-05  6.372e-03  5.337e+00 
 1.200e-05  6.843e-03  5.326e+00 
 1.300e-05  7.287e-03  5.317e+00 
 1.400e-05  7.702e-03  5.310e+00 
 1.500e-05  8.087e-03  5.305e+00 
 1.600e-05  8.440e-03  5.302e+00 
 1.700e-05  8.760e-03  5.301e+00 
 1.800e-05  9.045e-03  5.303e+00 
 1.900e-05  9.294e-03  5.306e+00 
 2.000e-05  9.507e-03  5.311e+00 
 2.100e-05  9.682e-03  5.318e+00 
 2.200e-05  9.819e-03  5.326e+00 
 2.300e-05  9.917e-03  5.336e+00 
 2.400e-05  9.976e-03  5.348e+00 
 2.500e-05  9.996e-03  5.362e+00 
 2.600e-05  9.976e-03  5.377e+00 
 2.700e-05  9.917e-03  5.393e+00 
 2.800e-05  9.819e-03  5.410e+00 
 2.900e-05  9.682e-03  5.429e+00 
 3.000e-05  9.507e-03  5.448e+00 
 3.100e-05  9.294e-03  5.469e+00 
 3.200e-05  9.045e-03  5.490e+00 
 3.300e-05  8.760e-03  5.512e+00 
 3.400e-05  8.440e-03  5.534e+00 
 3.500e-05  8.087e-03  5.557e+00 
 3.600e-05  7.702e-03  5.581e+00 
 3.700e-05  7.287e-03  5.605e+00 
 3.800e-05  6.843e-03  5.629e+00 
 3.900e-05  6.372e-03  5.653e+00 
 4.000e-05  5.875e-03  5.677e+00 
 4.100e-05  5.356e-03  5.700e+00 
 4.200e-05  4.816e-03  5.724e+00 
 4.300e-05  4.256e-03  5.747e+00 
 4.400e-05  3.680e-03  5.770e+00 
 4.500e-05  3.089e-03  5.792e+00 
 4.600e-05  2.486e-03  5.814e+00 
 4.700e-05  1.873e-03  5.835e+00 
 4.800e-05  1.253e-03  5.855e+00 
 4.900e-05  6.276e-04  5.874e+00 
 5.000e-05 -3.667e-08  5.893e+00 
 5.100e-05 -6.277e-04  5.910e+00 
 5.200e-05 -1.253e-03  5.926e+00 
 5.300e-05 -1.873e-03  5.941e+00 
 5.400e-05 -2.486e-03  5.955e+00 
 5.500e-05 -3.089e-03  5.968e+00 
 5.600e-05 -3.680e-03  5.979e+00 
 5.700e-05 -4.256e-03  5.989e+00 
 5.800e-05 -4.816e-03  5.997e+00 
 5.900e-05 -5.356e-03  6.004e+00 
 6.000e-05 -5.876e-03  6.010e+00 
 6.100e-05 -6.372e-03  6.014e+00 
 6.200e-05 -6.843e-03  6.017e+00 
 6.300e-05 -7.287e-03  6.018e+00 
 6.400e-05 -7.702e-03  6.017e+00 
 6.500e-05 -8.087e-03  6.015e+00 
 6.600e-05 -8.440e-03  6.012e+00 
 6.700e-05 -8.760e-03  6.007e+00 
 6.800e-05 -9.045e-03  6.000e+00 
 6.900e-05 -9.294e-03  5.992e+00 
 7.000e-05 -9.507e-03  5.983e+00 
 7.100e-05 -9.682e-03  5.972e+00 
 7.200e-05 -9.819e-03  5.959e+00 
 7.300e-05 -9.917e-03  5.945e+00 
 7.400e-05 -9.976e-03  5.930e+00 
 7.500e-05 -9.996e-03  5.914e+00 
 7.600e-05 -9.976e-03  5.896e+00 
 7.700e-05 -9.917e-03  5.878e+00 
 7.800e-05 -9.819e-03  5.858e+00 
 7.900e-05 -9.682e-03  5.837e+00 
 8.000e-05 -9.507e-03  5.815e+00 
 8.100e-05 -9.294e-03  5.792e+00 
 8.200e-05 -9.045e-03  5.769e+00 
 8.300e-05 -8.760e-03  5.745e+00 
 8.400e-05 -8.440e-03  5.720e+00 
 8.500e-05 -8.087e-03  5.695e+00 
 8.600e-05 -7.702e-03  5.669e+00 
 8.700e-05 -7.287e-03  5.643e+00 
 8.800e-05 -6.843e-03  5.617e+00 
 8.900e-05 -6.372e-03  5.590e+00 
 9.000e-05 -5.875e-03  5.564e+00 
 9.100e-05 -5.356e-03  5.538e+00 
 9.200e-05 -4.816e-03  5.512e+00 
 9.300e-05 -4.256e-03  5.486e+00 
 9.400e-05 -3.680e-03  5.461e+00 
 9.500e-05 -3.089e-03  5.437e+00 
 9.600e-05 -2.486e-03  5.413e+00 
 9.700e-05 -1.873e-03  5.389e+00 
 9.800e-05 -1.253e-03  5.367e+00 
 9.900e-05 -6.276e-04  5.346e+00 
 1.000e-04  3.667e-08  5.325e+00 
 1.010e-04  6.277e-04  5.306e+00 
 1.020e-04  1.253e-03  5.288e+00 
 1.030e-04  1.873e-03  5.271e+00 
 1.040e-04  2.486e-03  5.256e+00 
 1.050e-04  3.089e-03  5.242e+00 
 1.060e-04  3.680e-03  5.229e+00 
 1.070e-04  4.256e-03  5.218e+00 
 1.080e-04  4.816e-03  5.209e+00 
 1.090e-04  5.356e-03  5.201e+00 
 1.100e-04  5.876e-03  5.195e+00 
 1.110e-04  6.372e-03  5.191e+00 
 1.120e-04  6.843e-03  5.188e+00 
 1.130e-04  7.287e-03  5.187e+00 
 1.140e-04  7.702e-03  5.188e+00 
 1.150e-04  8.087e-03  5.190e+00 
 1.160e-04  8.440e-03  5.194e+00 
 1.170e-04  8.760e-03  5.200e+00 
 1.180e-04  9.045e-03  5.207e+00 
 1.190e-04  9.294e-03  5.216e+00 
 1.200e-04  9.507e-03  5.226e+00 
 1.210e-04  9.682e-03  5.238e+00 
 1.220e-04  9.819e-03  5.251e+00 
