 time       v(/in)     v(/out)    i(XU1:+IN) i(XU1:-IN) i(XU1:OUT)
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00 
 1.000e-05  6.278e-03  1.255e-02  1.996e-17 -1.996e-17 -6.276e-07 
 2.000e-05  1.253e-02  2.505e-02  1.985e-17 -1.985e-17 -1.253e-06 
 3.000e-05  1.873e-02  3.746e-02  1.964e-17 -1.964e-17 -1.873e-06 
 4.000e-05  2.486e-02  4.972e-02  1.938e-17 -1.938e-17 -2.486e-06 
 5.000e-05  3.089e-02  6.178e-02  1.901e-17 -1.901e-17 -3.089e-06 
 6.000e-05  3.680e-02  7.359e-02  1.860e-17 -1.860e-17 -3.680e-06 
 7.000e-05  4.256e-02  8.512e-02  1.809e-17 -1.809e-17 -4.256e-06 
 8.000e-05  4.816e-02  9.631e-02  1.753e-17 -1.753e-17 -4.815e-06 
 9.000e-05  5.356e-02  1.071e-01  1.688e-17 -1.688e-17 -5.356e-06 
 1.000e-04  5.876e-02  1.175e-01  1.619e-17 -1.619e-17 -5.875e-06 
 1.100e-04  6.372e-02  1.274e-01  1.540e-17 -1.540e-17 -6.372e-06 
 1.200e-04  6.843e-02  1.369e-01  1.459e-17 -1.459e-17 -6.843e-06 
 1.300e-04  7.287e-02  1.457e-01  1.368e-17 -1.368e-17 -7.287e-06 
 1.400e-04  7.702e-02  1.540e-01  1.276e-17 -1.276e-17 -7.702e-06 
 1.500e-04  8.087e-02  1.617e-01  1.175e-17 -1.175e-17 -8.087e-06 
 1.600e-04  8.440e-02  1.688e-01  1.073e-17 -1.073e-17 -8.440e-06 
 1.700e-04  8.760e-02  1.752e-01  9.627e-18 -9.627e-18 -8.760e-06 
 1.800e-04  9.045e-02  1.809e-01  8.524e-18 -8.524e-18 -9.045e-06 
 1.900e-04  9.294e-02  1.859e-01  7.355e-18 -7.355e-18 -9.294e-06 
 2.000e-04  9.507e-02  1.901e-01  6.189e-18 -6.189e-18 -9.507e-06 
 2.100e-04  9.682e-02  1.936e-01  4.967e-18 -4.967e-18 -9.682e-06 
 2.200e-04  9.819e-02  1.964e-01  3.757e-18 -3.757e-18 -9.819e-06 
 2.300e-04  9.917e-02  1.983e-01  2.500e-18 -2.500e-18 -9.917e-06 
 2.400e-04  9.976e-02  1.995e-01  1.265e-18 -1.265e-18 -9.976e-06 
 2.500e-04  9.996e-02  1.999e-01 -6.795e-21  6.795e-21 -9.996e-06 
 2.600e-04  9.976e-02  1.995e-01 -1.246e-18  1.246e-18 -9.976e-06 
 2.700e-04  9.917e-02  1.983e-01 -2.513e-18  2.513e-18 -9.917e-06 
 2.800e-04  9.819e-02  1.964e-01 -3.738e-18  3.738e-18 -9.819e-06 
 2.900e-04  9.682e-02  1.936e-01 -4.980e-18  4.980e-18 -9.682e-06 
 3.000e-04  9.507e-02  1.901e-01 -6.171e-18  6.171e-18 -9.507e-06 
 3.100e-04  9.294e-02  1.859e-01 -7.369e-18  7.369e-18 -9.294e-06 
 3.200e-04  9.045e-02  1.809e-01 -8.506e-18  8.506e-18 -9.045e-06 
 3.300e-04  8.760e-02  1.752e-01 -9.641e-18  9.641e-18 -8.760e-06 
 3.400e-04  8.440e-02  1.688e-01 -1.071e-17  1.071e-17 -8.440e-06 
 3.500e-04  8.087e-02  1.617e-01 -1.176e-17  1.176e-17 -8.087e-06 
 3.600e-04  7.702e-02  1.540e-01 -1.274e-17  1.274e-17 -7.702e-06 
 3.700e-04  7.287e-02  1.457e-01 -1.370e-17  1.370e-17 -7.287e-06 
 3.800e-04  6.843e-02  1.369e-01 -1.457e-17  1.457e-17 -6.843e-06 
 3.900e-04  6.372e-02  1.274e-01 -1.542e-17  1.542e-17 -6.372e-06 
 4.000e-04  5.875e-02  1.175e-01 -1.617e-17  1.617e-17 -5.876e-06 
 4.100e-04  5.356e-02  1.071e-01 -1.689e-17  1.689e-17 -5.356e-06 
 4.200e-04  4.816e-02  9.632e-02 -1.752e-17  1.752e-17 -4.816e-06 
 4.300e-04  4.256e-02  8.512e-02 -1.810e-17  1.810e-17 -4.256e-06 
 4.400e-04  3.680e-02  7.360e-02 -1.859e-17  1.859e-17 -3.680e-06 
