 time       v(/in)     v(/out)   
 0.000e+00  0.000e+00 -9.452e-28 
 1.000e-06  3.142e-02  3.169e-09 
 2.000e-06  6.283e-02  6.390e-09 
 3.000e-06  9.424e-02  9.663e-09 
 4.000e-06  1.256e-01  1.299e-08 
 5.000e-06  1.571e-01  1.639e-08 
 6.000e-06  1.885e-01  1.985e-08 
 7.000e-06  2.198e-01  2.340e-08 
 8.000e-06  2.512e-01  2.712e-08 
 9.000e-06  2.826e-01  3.119e-08 
 1.000e-05  3.140e-01  3.632e-08 
 1.100e-05  3.453e-01  4.481e-08 
 1.200e-05  3.766e-01  6.435e-08 
 1.300e-05  4.080e-01  1.208e-07 
 1.400e-05  4.393e-01  3.007e-07 
 1.500e-05  4.705e-01  8.929e-07 
 1.600e-05  5.018e-01  2.851e-06 
 1.700e-05  5.331e-01  9.229e-06 
 1.800e-05  5.643e-01  2.900e-05 
 1.900e-05  5.955e-01  8.387e-05 
 2.000e-05  6.267e-01  2.123e-04 
 2.100e-05  6.578e-01  4.626e-04 
 2.200e-05  6.889e-01  8.792e-04 
 2.300e-05  7.201e-01  1.495e-03 
 2.400e-05  7.511e-01  2.332e-03 
 2.500e-05  7.822e-01  3.404e-03 
 2.600e-05  8.132e-01  4.720e-03 
 2.700e-05  8.442e-01  6.287e-03 
 2.800e-05  8.751e-01  8.106e-03 
 2.900e-05  9.060e-01  1.018e-02 
 3.000e-05  9.369e-01  1.251e-02 
 3.100e-05  9.677e-01  1.510e-02 
 3.200e-05  9.985e-01  1.795e-02 
 3.300e-05  1.029e+00  2.105e-02 
 3.400e-05  1.060e+00  2.440e-02 
 3.500e-05  1.091e+00  2.801e-02 
 3.600e-05  1.121e+00  3.187e-02 
 3.700e-05  1.152e+00  3.598e-02 
 3.800e-05  1.182e+00  4.034e-02 
 3.900e-05  1.213e+00  4.495e-02 
 4.000e-05  1.243e+00  4.980e-02 
 4.100e-05  1.274e+00  5.489e-02 
 4.200e-05  1.304e+00  6.022e-02 
 4.300e-05  1.335e+00  6.578e-02 
 4.400e-05  1.365e+00  7.159e-02 
 4.500e-05  1.395e+00  7.762e-02 
 4.600e-05  1.425e+00  8.389e-02 
 4.700e-05  1.455e+00  9.038e-02 
 4.800e-05  1.485e+00  9.710e-02 
 4.900e-05  1.515e+00  1.040e-01 
 5.000e-05  1.545e+00  1.112e-01 
 5.100e-05  1.575e+00  1.186e-01 
 5.200e-05  1.605e+00  1.262e-01 
 5.300e-05  1.634e+00  1.340e-01 
 5.400e-05  1.664e+00  1.420e-01 
 5.500e-05  1.694e+00  1.503e-01 
 5.600e-05  1.723e+00  1.587e-01 
 5.700e-05  1.753e+00  1.673e-01 
 5.800e-05  1.782e+00  1.762e-01 
 5.900e-05  1.811e+00  1.852e-01 
 6.000e-05  1.841e+00  1.944e-01 
 6.100e-05  1.870e+00  2.039e-01 
 6.200e-05  1.899e+00  2.135e-01 
 6.300e-05  1.928e+00  2.233e-01 
 6.400e-05  1.957e+00  2.333e-01 
 6.500e-05  1.986e+00  2.435e-01 
 6.600e-05  2.015e+00  2.538e-01 
 6.700e-05  2.043e+00  2.643e-01 
 6.800e-05  2.072e+00  2.751e-01 
 6.900e-05  2.100e+00  2.859e-01 
 7.000e-05  2.129e+00  2.970e-01 
 7.100e-05  2.157e+00  3.082e-01 
 7.200e-05  2.186e+00  3.196e-01 
 7.300e-05  2.214e+00  3.312e-01 
 7.400e-05  2.242e+00  3.429e-01 
 7.500e-05  2.270e+00  3.548e-01 
 7.600e-05  2.298e+00  3.668e-01 
 7.700e-05  2.326e+00  3.790e-01 
 7.800e-05  2.354e+00  3.913e-01 
 7.900e-05  2.381e+00  4.038e-01 
 8.000e-05  2.409e+00  4.165e-01 
 8.100e-05  2.436e+00  4.292e-01 
 8.200e-05  2.464e+00  4.422e-01 
 8.300e-05  2.491e+00  4.552e-01 
 8.400e-05  2.518e+00  4.684e-01 
 8.500e-05  2.545e+00  4.818e-01 
 8.600e-05  2.572e+00  4.952e-01 
 8.700e-05  2.599e+00  5.088e-01 
 8.800e-05  2.626e+00  5.226e-01 
 8.900e-05  2.653e+00  5.364e-01 
 9.000e-05  2.679e+00  5.504e-01 
 9.100e-05  2.706e+00  5.645e-01 
 9.200e-05  2.732e+00  5.788e-01 
 9.300e-05  2.758e+00  5.931e-01 
 9.400e-05  2.784e+00  6.076e-01 
 9.500e-05  2.810e+00  6.221e-01 
 9.600e-05  2.836e+00  6.368e-01 
 9.700e-05  2.862e+00  6.516e-01 
 9.800e-05  2.888e+00  6.665e-01 
 9.900e-05  2.913e+00  6.815e-01 
 1.000e-04  2.939e+00  6.966e-01 
 1.010e-04  2.964e+00  7.119e-01 
 1.020e-04  2.990e+00  7.272e-01 
 1.030e-04  3.015e+00  7.426e-01 
 1.040e-04  3.040e+00  7.581e-01 
 1.050e-04  3.065e+00  7.737e-01 
 1.060e-04  3.089e+00  7.893e-01 
 1.070e-04  3.114e+00  8.051e-01 
 1.080e-04  3.138e+00  8.210e-01 
 1.090e-04  3.163e+00  8.369e-01 
 1.100e-04  3.187e+00  8.529e-01 
 1.110e-04  3.211e+00  8.690e-01 
 1.120e-04  3.235e+00  8.852e-01 
 1.130e-04  3.259e+00  9.015e-01 
 1.140e-04  3.283e+00  9.178e-01 
 1.150e-04  3.307e+00  9.342e-01 
 1.160e-04  3.330e+00  9.507e-01 
 1.170e-04  3.353e+00  9.672e-01 
 1.180e-04  3.377e+00  9.838e-01 
 1.190e-04  3.400e+00  1.001e+00 
 1.200e-04  3.423e+00  1.017e+00 
 1.210e-04  3.446e+00  1.034e+00 
 1.220e-04  3.468e+00  1.051e+00 
 1.230e-04  3.491e+00  1.068e+00 
 1.240e-04  3.513e+00  1.085e+00 
 1.250e-04  3.536e+00  1.102e+00 
 1.260e-04  3.558e+00  1.119e+00 
 1.270e-04  3.580e+00  1.136e+00 
 1.280e-04  3.602e+00  1.153e+00 
 1.290e-04  3.623e+00  1.170e+00 
 1.300e-04  3.645e+00  1.188e+00 
 1.310e-04  3.666e+00  1.205e+00 
 1.320e-04  3.688e+00  1.222e+00 
 1.330e-04  3.709e+00  1.240e+00 
 1.340e-04  3.730e+00  1.257e+00 
 1.350e-04  3.751e+00  1.274e+00 
 1.360e-04  3.771e+00  1.292e+00 
 1.370e-04  3.792e+00  1.309e+00 
 1.380e-04  3.812e+00  1.327e+00 
 1.390e-04  3.832e+00  1.344e+00 
 1.400e-04  3.853e+00  1.362e+00 
 1.410e-04  3.872e+00  1.380e+00 
 1.420e-04  3.892e+00  1.397e+00 
 1.430e-04  3.912e+00  1.415e+00 
 1.440e-04  3.931e+00  1.433e+00 
 1.450e-04  3.951e+00  1.450e+00 
 1.460e-04  3.970e+00  1.468e+00 
 1.470e-04  3.989e+00  1.486e+00 
 1.480e-04  4.008e+00  1.503e+00 
 1.490e-04  4.027e+00  1.521e+00 
 1.500e-04  4.045e+00  1.539e+00 
 1.510e-04  4.063e+00  1.557e+00 
 1.520e-04  4.082e+00  1.574e+00 
 1.530e-04  4.100e+00  1.592e+00 
 1.540e-04  4.118e+00  1.610e+00 
 1.550e-04  4.135e+00  1.628e+00 
 1.560e-04  4.153e+00  1.646e+00 
 1.570e-04  4.170e+00  1.663e+00 
 1.580e-04  4.188e+00  1.681e+00 
 1.590e-04  4.205e+00  1.699e+00 
 1.600e-04  4.222e+00  1.717e+00 
 1.610e-04  4.238e+00  1.734e+00 
 1.620e-04  4.255e+00  1.752e+00 
 1.630e-04  4.271e+00  1.770e+00 
 1.640e-04  4.288e+00  1.787e+00 
 1.650e-04  4.304e+00  1.805e+00 
 1.660e-04  4.320e+00  1.823e+00 
 1.670e-04  4.335e+00  1.840e+00 
 1.680e-04  4.351e+00  1.858e+00 
 1.690e-04  4.366e+00  1.876e+00 
 1.700e-04  4.382e+00  1.893e+00 
 1.710e-04  4.397e+00  1.911e+00 
 1.720e-04  4.411e+00  1.928e+00 
 1.730e-04  4.426e+00  1.946e+00 
 1.740e-04  4.441e+00  1.963e+00 
 1.750e-04  4.455e+00  1.981e+00 
 1.760e-04  4.469e+00  1.998e+00 
 1.770e-04  4.483e+00  2.016e+00 
 1.780e-04  4.497e+00  2.033e+00 
 1.790e-04  4.511e+00  2.050e+00 
 1.800e-04  4.524e+00  2.067e+00 
 1.810e-04  4.537e+00  2.085e+00 
 1.820e-04  4.551e+00  2.102e+00 
 1.830e-04  4.563e+00  2.119e+00 
 1.840e-04  4.576e+00  2.136e+00 
 1.850e-04  4.589e+00  2.153e+00 
 1.860e-04  4.601e+00  2.170e+00 
 1.870e-04  4.613e+00  2.187e+00 
 1.880e-04  4.625e+00  2.204e+00 
 1.890e-04  4.637e+00  2.221e+00 
 1.900e-04  4.649e+00  2.238e+00 
 1.910e-04  4.660e+00  2.255e+00 
 1.920e-04  4.672e+00  2.271e+00 
 1.930e-04  4.683e+00  2.288e+00 
 1.940e-04  4.694e+00  2.305e+00 
 1.950e-04  4.704e+00  2.321e+00 
 1.960e-04  4.715e+00  2.338e+00 
 1.970e-04  4.725e+00  2.354e+00 
 1.980e-04  4.735e+00  2.371e+00 
 1.990e-04  4.745e+00  2.387e+00 
 2.000e-04  4.755e+00  2.403e+00 
 2.010e-04  4.765e+00  2.419e+00 
 2.020e-04  4.774e+00  2.435e+00 
 2.030e-04  4.784e+00  2.452e+00 
 2.040e-04  4.793e+00  2.468e+00 
 2.050e-04  4.801e+00  2.483e+00 
 2.060e-04  4.810e+00  2.499e+00 
 2.070e-04  4.819e+00  2.515e+00 
 2.080e-04  4.827e+00  2.531e+00 
 2.090e-04  4.835e+00  2.546e+00 
 2.100e-04  4.843e+00  2.562e+00 
 2.110e-04  4.851e+00  2.577e+00 
 2.120e-04  4.858e+00  2.593e+00 
 2.130e-04  4.865e+00  2.608e+00 
 2.140e-04  4.873e+00  2.623e+00 
 2.150e-04  4.880e+00  2.639e+00 
 2.160e-04  4.886e+00  2.654e+00 
 2.170e-04  4.893e+00  2.669e+00 
 2.180e-04  4.899e+00  2.684e+00 
 2.190e-04  4.905e+00  2.698e+00 
 2.200e-04  4.911e+00  2.713e+00 
 2.210e-04  4.917e+00  2.728e+00 
 2.220e-04  4.923e+00  2.742e+00 
 2.230e-04  4.928e+00  2.757e+00 
 2.240e-04  4.933e+00  2.771e+00 
 2.250e-04  4.938e+00  2.786e+00 
 2.260e-04  4.943e+00  2.800e+00 
 2.270e-04  4.948e+00  2.814e+00 
 2.280e-04  4.952e+00  2.828e+00 
 2.290e-04  4.957e+00  2.842e+00 
 2.300e-04  4.961e+00  2.856e+00 
 2.310e-04  4.964e+00  2.870e+00 
 2.320e-04  4.968e+00  2.883e+00 
 2.330e-04  4.971e+00  2.897e+00 
 2.340e-04  4.975e+00  2.910e+00 
 2.350e-04  4.978e+00  2.924e+00 
 2.360e-04  4.981e+00  2.937e+00 
 2.370e-04  4.983e+00  2.950e+00 
 2.380e-04  4.986e+00  2.963e+00 
 2.390e-04  4.988e+00  2.976e+00 
 2.400e-04  4.990e+00  2.989e+00 
 2.410e-04  4.992e+00  3.001e+00 
 2.420e-04  4.994e+00  3.014e+00 
 2.430e-04  4.995e+00  3.027e+00 
 2.440e-04  4.996e+00  3.039e+00 
 2.450e-04  4.998e+00  3.051e+00 
 2.460e-04  4.998e+00  3.063e+00 
 2.470e-04  4.999e+00  3.075e+00 
 2.480e-04  5.000e+00  3.087e+00 
 2.490e-04  5.000e+00  3.099e+00 
 2.500e-04  5.000e+00  3.111e+00 
 2.510e-04  5.000e+00  3.123e+00 
 2.520e-04  5.000e+00  3.134e+00 
 2.530e-04  4.999e+00  3.145e+00 
 2.540e-04  4.998e+00  3.157e+00 
 2.550e-04  4.998e+00  3.168e+00 
 2.560e-04  4.996e+00  3.179e+00 
 2.570e-04  4.995e+00  3.190e+00 
 2.580e-04  4.994e+00  3.201e+00 
 2.590e-04  4.992e+00  3.211e+00 
 2.600e-04  4.990e+00  3.222e+00 
 2.610e-04  4.988e+00  3.232e+00 
 2.620e-04  4.986e+00  3.243e+00 
 2.630e-04  4.983e+00  3.253e+00 
 2.640e-04  4.981e+00  3.263e+00 
 2.650e-04  4.978e+00  3.273e+00 
 2.660e-04  4.975e+00  3.283e+00 
 2.670e-04  4.971e+00  3.292e+00 
 2.680e-04  4.968e+00  3.302e+00 
 2.690e-04  4.964e+00  3.311e+00 
 2.700e-04  4.961e+00  3.321e+00 
 2.710e-04  4.957e+00  3.330e+00 
 2.720e-04  4.952e+00  3.339e+00 
 2.730e-04  4.948e+00  3.348e+00 
 2.740e-04  4.943e+00  3.356e+00 
 2.750e-04  4.938e+00  3.365e+00 
 2.760e-04  4.933e+00  3.374e+00 
 2.770e-04  4.928e+00  3.382e+00 
 2.780e-04  4.923e+00  3.390e+00 
 2.790e-04  4.917e+00  3.398e+00 
 2.800e-04  4.911e+00  3.406e+00 
 2.810e-04  4.905e+00  3.414e+00 
 2.820e-04  4.899e+00  3.422e+00 
 2.830e-04  4.893e+00  3.430e+00 
 2.840e-04  4.886e+00  3.437e+00 
 2.850e-04  4.880e+00  3.444e+00 
 2.860e-04  4.873e+00  3.452e+00 
 2.870e-04  4.865e+00  3.459e+00 
 2.880e-04  4.858e+00  3.466e+00 
 2.890e-04  4.851e+00  3.472e+00 
 2.900e-04  4.843e+00  3.479e+00 
 2.910e-04  4.835e+00  3.485e+00 
 2.920e-04  4.827e+00  3.492e+00 
 2.930e-04  4.819e+00  3.498e+00 
 2.940e-04  4.810e+00  3.504e+00 
 2.950e-04  4.801e+00  3.510e+00 
 2.960e-04  4.793e+00  3.516e+00 
 2.970e-04  4.784e+00  3.521e+00 
 2.980e-04  4.774e+00  3.527e+00 
 2.990e-04  4.765e+00  3.532e+00 
 3.000e-04  4.755e+00  3.538e+00 
 3.010e-04  4.745e+00  3.543e+00 
 3.020e-04  4.735e+00  3.548e+00 
 3.030e-04  4.725e+00  3.552e+00 
 3.040e-04  4.715e+00  3.557e+00 
 3.050e-04  4.704e+00  3.562e+00 
 3.060e-04  4.694e+00  3.566e+00 
 3.070e-04  4.683e+00  3.570e+00 
 3.080e-04  4.672e+00  3.574e+00 
 3.090e-04  4.660e+00  3.578e+00 
 3.100e-04  4.649e+00  3.582e+00 
 3.110e-04  4.637e+00  3.586e+00 
 3.120e-04  4.625e+00  3.589e+00 
 3.130e-04  4.613e+00  3.593e+00 
 3.140e-04  4.601e+00  3.596e+00 
 3.150e-04  4.589e+00  3.599e+00 
 3.160e-04  4.576e+00  3.602e+00 
